"exp","exp href","exp 2","wd51","wd51 2","wd51 3","wd51 4","wd55","wd22 2","wd22 3","wd22 4","wd22 6","wd22 7","inputimg","inputimg 2","sf","sf href","sf 2","inputimg 3","inputimg 4"
"11077","https://etrain.info/train/Jhelum-Express-11077/schedule","JHELUM EXPRESS","PUNE","JAT","08:45","08:50","00:05H","Y","Y","Y","Y","Y","2A","3A","","","","SL",""
"","","","JU","MQ","08:55","09:00","00:05H","X","X","X","X","X","2A","3A","22673","https://etrain.info/train/Bgkt-Mq-Express-22673/schedule","BGKT MQ EXPRESS","SL",""
"01704","https://etrain.info/train/Rewa-Dadn-Spl-01704/schedule","REWA DADN SPL","REWA","DADN","09:00","09:05","00:05H","X","X","X","X","X","2A","3A","","","","3E","SL"
"16787","https://etrain.info/train/Ten-Svdk-Exp-16787/schedule","TEN SVDK EXP","TEN","SVDK","09:05","09:10","00:05H","X","X","X","X","X","2A","3A","","","","3E","SL"
"16317","https://etrain.info/train/Himsagar-Exp-16317/schedule","HIMSAGAR EXP","CAPE","SVDK","09:05","09:10","00:05H","X","X","X","X","X","2A","3A","","","","3E","SL"
"16031","https://etrain.info/train/Andaman-Express-16031/schedule","ANDAMAN EXPRESS","MAS","SVDK","09:05","09:10","00:05H","Y","Y","X","X","X","2A","3A","","","","SL",""
"","","","INDB","NGP","09:10","09:15","00:05H","Y","Y","Y","Y","X","EC","CC","","","","",""
"11058","https://etrain.info/train/Asr-Csmt-Exp-11058/schedule","ASR CSMT EXP","ASR","CSMT","09:20","09:25","00:05H","Y","Y","Y","Y","Y","2A","3E","","","","SL",""
"","","","NZM","HYB","09:40","09:45","00:05H","Y","Y","Y","Y","Y","2A","3A","12722","https://etrain.info/train/Dakshin-Express-12722/schedule","DAKSHIN EXPRESS","SL",""
"","","","CSMT","FZR","09:45","09:50","00:05H","Y","Y","Y","Y","Y","1A","2A","12137","https://etrain.info/train/Punjab-Mail-12137/schedule","PUNJAB MAIL","3A","SL"
"","","","BL","CNB","10:30","10:35","00:05H","X","X","X","X","X","2A","3A","12943","https://etrain.info/train/Udyogkarmi-Exp-12943/schedule","UDYOGKARMI EXP","SL",""
"07023","https://etrain.info/train/Chz-Nzm-Spl-07023/schedule","CHZ NZM SPL","CHZ","NZM","13:45","13:50","00:05H","X","X","X","X","X","1A","2A","","","","3A","SL"
"07075","https://etrain.info/train/Hyb-Gkp-Spl-07075/schedule","HYB GKP SPL","HYB","GKP","13:45","13:50","00:05H","X","X","X","X","X","2A","3A","","","","SL",""
"11407","https://etrain.info/train/Pune-Ljn-Express-11407/schedule","PUNE LJN EXPRESS","PUNE","LJN","13:55","14:00","00:05H","X","X","X","X","X","2A","3A","","","","SL",""
"07024","https://etrain.info/train/Chz-Summer-Spl-07024/schedule","CHZ SUMMER SPL","NZM","CHZ","14:25","14:30","00:05H","X","X","X","X","X","1A","2A","","","","3A","SL"
"","","","LTT","GKP","14:45","14:50","00:05H","Y","Y","Y","Y","Y","1A","2A","22538","https://etrain.info/train/Kushinagar-Sf-Exp-22538/schedule","KUSHINAGAR SF EXP","3A","SL"
"","","","NZM","VSKP","15:25","15:30","00:05H","Y","X","X","X","X","1A","2A","12804","https://etrain.info/train/Vskp-Swrn-J-Exp-12804/schedule","VSKP SWRN J EXP","3A","SL"
"","","","NZM","TVC","15:25","15:30","00:05H","X","X","X","X","X","2A","3E","12644","https://etrain.info/train/Swarna-Jayanti-12644/schedule","SWARNA JAYANTI","SL",""
"","","","NZM","ERS","15:25","15:30","00:05H","X","X","X","X","X","2A","3A","12646","https://etrain.info/train/Ers-Millenum-Ex-12646/schedule","ERS MILLENUM EX","SL",""
"","","","NZM","KOP","15:25","15:30","00:05H","X","X","X","X","X","2A","3A","12148","https://etrain.info/train/Nzm-Kop-Exp-12148/schedule","NZM KOP EXP","SL",""
"11057","https://etrain.info/train/Csmt-Asr-Exp-11057/schedule","CSMT ASR EXP","CSMT","ASR","15:25","15:30","00:05H","Y","Y","Y","Y","Y","2A","3E","","","","SL",""
"","","","NZM","MYS","15:25","15:30","00:05H","X","X","X","X","X","1A","2A","12782","https://etrain.info/train/Swarna-Jayanthi-12782/schedule","SWARNA JAYANTHI","3A","SL"
"","","","NZM","ERS","16:20","16:25","00:05H","Y","Y","Y","Y","Y","2A","3A","12618","https://etrain.info/train/Mngla-Lksdp-12618/schedule","MNGLA LKSDP","SL",""
"","","","FZR","CSMT","16:35","16:40","00:05H","Y","Y","Y","Y","Y","1A","2A","12138","https://etrain.info/train/Punjab-Mail-12138/schedule","PUNJAB MAIL","3A","SL"
"","","","SEY","FZR","16:35","16:40","00:05H","Y","Y","Y","Y","Y","2A","3A","20423","https://etrain.info/train/Patalkot-Sf-Exp-20423/schedule","PATALKOT SF EXP","3E","SL"
"","","","NZM","CBE","17:00","17:05","00:05H","X","X","X","X","X","2A","3A","12648","https://etrain.info/train/Kongu-Express-12648/schedule","KONGU EXPRESS","SL",""
"","","","HYB","NZM","17:10","17:15","00:05H","Y","Y","Y","Y","Y","2A","3A","12721","https://etrain.info/train/Dakshin-Exp-12721/schedule","DAKSHIN EXP","SL",""
"18238","https://etrain.info/train/Chhatisgarh-Exp-18238/schedule","CHHATISGARH EXP","ASR","BSP","17:55","18:00","00:05H","Y","Y","Y","Y","Y","1A","2A","","","","3A","3E"
