Train_No,Train_Name,Priority,From_Station,To_Station,Scheduled_Arrival,Scheduled_Departure
22710,AADR NED SF EXP,2,AADR,NED,08:25,08:35
12422,ASR NED SF EXP,2,ASR,NED,08:25,08:35
12440,SGNR NED EXP,2,SGNR,NED,08:25,08:35
12486,SGNR NED EXPRESS,2,SGNR,NED,08:25,08:35
22632,ANUVRAT EXP,2,BKN,MDU,08:50,09:00
2133,BDTS JBP SF SPL,2,BDTS,JBP,09:00,09:10
4717,HSR TPTY SF SPL,2,HSR,TPTY,09:00,09:10
20498,FZR RMM HUMSAFAR,2,FZR,RMM,09:20,09:30
22176,JAIPUR NGP SF EXP,2,JP,NGP,09:25,09:35
20497,FZR HUMSAFAR,2,RMM,FZR,09:25,09:35
16093,LUCKNOW EXP,3,MAS,LJN,09:30,09:40
20493,MDU CDG EXP,2,MDU,CDG,09:30,09:40
22537,KUSHINAGAR SF EXP,2,GKP,LTT,09:50,10:00
19713,JP KRNT EXP,3,JP,KRNT,10:20,10:30
6598,YNRK YPR EXP SPL,3,YNRK,YPR,10:30,10:40
20482,BGKT HUMSAFAR,2,TPJ,JU,13:35,13:45
22403,PDY NDLS EXPRESS,2,PDY,NDLS,13:35,13:45
12590,GORAKHPUR EXP,2,SC,GKP,13:45,13:55
12720,HYB JP SUP EXP,2,HYB,JP,13:55,14:05
7020,HYB JP SPL,4,HYB,JP,13:55,14:05
17020,HYB HSR EXPRESS,3,HYB,HSR,13:55,14:05
6597,YPR YNRK SPL,4,YPR,YNRK,14:00,14:10
20104,AMH LTT SF EXP,2,AMH,LTT,14:35,14:45
12642,THIRUKKURAL EXP,2,NZM,CAPE,15:55,16:05
12708,AP SMPRK KRANTI,2,NZM,TPTY,15:55,16:05
12652,T N SMPRK KRNTI,2,NZM,MDU,15:55,16:05
22583,JANSADHARAN EXP,2,CPR,LTT,16:05,16:15
12944,UDHYOGKARMI EXP,2,CNB,BL,16:05,16:15
12174,UDYOG NAGRI EXP,2,MBDP,LTT,16:05,16:15
12650,KTK SMPRK K EXP,2,NZM,YPR,16:55,17:05
12144,SLN LTT SF EXP,2,SLN,LTT,17:15,17:25
12919,MALWA EXPRESS,2,DADN,SVDK,17:20,17:30
22175,NGP JAIPUR SF EXP,2,NGP,JP,17:30,17:40
12808,SAMTA EXPRESS,2,NZM,VSKP,17:35,17:45
12969,CBE JAIPUR EXP,2,CBE,JP,17:50,18:00
20813,PURI JU EXPRESS,2,PURI,JU,17:50,18:00
12975,JAIPUR EXPRESS,2,MYS,JP,17:50,18:00
19714,KRNT JP EXP,3,KRNT,JP,17:50,18:00
12967,JAIPUR EXP,2,MAS,JP,17:50,18:00
19343,PANCHVALLEY EXP,3,INDB,NIR,18:00,18:10
20103,LTT AMH SF EXP,2,LTT,AMH,18:15,18:25
12630,YPR S KRNTI EXP,2,NZM,YPR,18:20,18:30
22686,KARNTK S KRANTI,2,CDG,YPR,18:20,18:30
20917,PURI HUMSAFAR EX,2,INDB,PURI,18:30,18:40
12779,GOA EXPRESS,2,VSG,NZM,19:10,19:20
12405,GONDWANA EXPRES,2,BSL,NZM,19:25,19:35
12409,GONDWANA EXPRES,2,RIG,NZM,19:25,19:35
11464,JBP SOMNATH EXP,3,JBP,VRL,20:00,20:10
12621,TAMIL NADU EXP,2,MAS,NDLS,20:10,20:20
12171,LTT HW AC SUP,2,LTT,HW,20:20,20:30
20805,VSKP NDLS AP EXP,2,VSKP,NDLS,20:20,20:30
22455,SNSI KLK SUP EXP,2,SNSI,KLK,20:20,20:30
7053,KCG BKN SPL,4,KCG,BKN,20:30,20:40
7053,KCG BKN SPL,4,SBC,NZM,20:50,21:00
22645,AHILYANAGARI EX,2,INDB,TVCN,21:05,21:15
22126,ASR NGP AC EXP,2,ASR,NGP,21:10,21:20
12534,PUSHPAK EXPRESS,2,CSMT,LJN,21:15,21:25
22674,MQ BGKT EXP,2,MQ,JU,21:30,21:40
22631,ANUVRAT EXPRESS,2,MDU,BKN,21:30,21:40
14313,BAREILLY EXP,3,LTT,BE,21:30,21:40
12723,TELANGANA  EXP,2,HYB,NDLS,21:45,21:55
18233,NARMADA EXPRESS,3,INDB,BSP,21:55,22:05
2134,BDTS FESTIVL SPL,4,JBP,BDTS,22:25,22:35
11086,GWL SMVB EXPRESS,3,GWL,SMVB,23:05,23:15
12649,SAMPARK KRANTI,2,YPR,NZM,23:10,23:20
22191,INDB JBP EXP,2,INDB,JBP,23:25,23:35
22191,INDB JBP EXP,2,NZM,SC,23:30,23:40
22191,INDB JBP EXP,2,NZM,MAS,23:30,23:40
22191,INDB JBP EXP,2,NDLS,BSP,23:30,23:40
22191,INDB JBP EXP,2,NZM,MAS,23:30,23:40
22646,AHILYANAGARI EX,2,TVCN,INDB,23:35,23:45
11465,SMNH JBP EXPRES,3,SMNH,JBP,06:45,07:00
7054,BKN KCG SPL,4,BKN,KCG,08:55,09:10
11466,JBP SOMNATH EXP,3,JBP,VRL,19:55,20:10
12920,MALWA EXPRESS,2,SVDK,DADN,07:25,07:45
